Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
O seguro é obrigatório?,Obrigatoriedade: * Esclareça ao cliente que o seguro prestamista é opcional. * A decisão de incluí-lo na contratação do crédito cabe a ele.,"obrigatório, opcional, seguro, seguro prestamista",,,"carência, cobertura, início, opcional, seguro prestamista",,,
O que acontece se eu contratar o seguro?,"Benefício: * Explique ao cliente que, ao contratar, ele ganha segurança. * Em caso de imprevistos como falecimento, invalidez ou perda de renda, parte ou todo o empréstimo pode ser quitado. * Isso evita preocupações com dívidas.","acontece, contratar, quitação, segurança, seguro, seguro prestamista",,,"cobertura, falecimento, quitação, segurança, seguro prestamista, valor",,,
Quando a cobertura do seguro começa?,Início: * Informe ao cliente que a cobertura inicia no momento da contratação do crédito. * Sem período de carência.,"carência, cobertura, começa, início, seguro, seguro prestamista",,,"carência, invalidez, início, seguro prestamista, valor",,,
Qual o valor da cobertura em caso de falecimento?,"Valor Falecimento: * Detalhe ao cliente que, em caso de morte natural ou acidental, o seguro garante até R$10.000,00.","caso, cobertura, falecimento, seguro prestamista, valor",,,"pagamento, perda renda, proposta baixa, seguro prestamista",,,
Qual o valor da cobertura em caso de invalidez por acidente?,"Valor Invalidez: * Esclareça ao cliente que, em caso de invalidez permanente e total por acidente, o seguro garante até R$5.000,00.","acidente, caso, cobertura, invalidez, seguro prestamista, valor",,,"R$10 mil, participação, pouco dinheiro, seguro prestamista, sorteio",,,
Como funciona a cobertura de perda de renda?,"Funcionamento Perda de Renda: * Explique ao cliente que, em caso de perda de renda, o seguro paga até 3 parcelas do empréstimo. * Com limite de R$1.000,00 por parcela, em uma única vez. * Respeitando o valor total do crédito contratado.","cobertura, funciona, pagamento, perda, perda renda, renda, seguro prestamista",,,"Caburé, acionamento, imprevisto, pagamento, perda renda, seguro prestamista",,,
Como funciona o sorteio de R$10 mil?,"Sorteio: * Informe ao cliente que, todo mês, no último sábado, ocorre um sorteio de R$10 mil entre clientes com seguro ativo. * Explique que quem ganha deixa de participar dos sorteios subsequentes. * Mas as coberturas permanecem válidas.","funciona, mil, participação, seguro prestamista, sorteio",,,"Caburé, Velotax, participação, seguro prestamista, sinistro",,,
Como aciono o seguro em caso de imprevisto?,"Ativação: * Instrua o cliente a contatar diretamente a Caburé, nos canais informados na apólice. * Em caso de imprevisto coberto.","Caburé, acionamento, aciono, caso, imprevisto, seguro, seguro prestamista",,,"acionamento, caburé, encerramento, quitação antecipada, seguro prestamista",,,
O Velotax resolve o sinistro?,Resolução Sinistro: * Esclareça ao cliente que a Velotax oferece orientação e suporte inicial. * Mas a regulação do sinistro é responsabilidade da Caburé junto às seguradoras.,"Caburé, resolve, seguro prestamista, sinistro, velotax",,,"caburé, contratação, crédito, seguro prestamista",,,
O que acontece se eu quitar o empréstimo antes do prazo?,"Quitação Antecipada: * Explique ao cliente que, ao quitar o empréstimo antecipadamente, o seguro é encerrado automaticamente. * Cessando a cobertura e a participação nos sorteios mensais.","acontece, antes, empréstimo, encerramento, prazo, quitar, quitação antecipada, seguro prestamista",,,"acidental, cobertura, encerramento, morte, natural, pagamento total, quitação antecipada, seguro prestamista",,,
"Posso contratar o seguro separadamente, sem a contratação do crédito?",Contratação Separada: * Informe ao cliente que o seguro só pode ser contratado junto ao crédito. * Não sendo possível separadamente.,"contratar, contratação, crédito, posso, seguro, seguro prestamista, sem, separadamente",,,"Caburé, Velotax, crédito consignado, dúvidas, fechar negócio, financiamento pessoal, seguro prestamista",,,
O seguro cobre qualquer causa de morte?,Cobertura Morte: * Confirme ao cliente que a cobertura vale tanto para morte natural quanto para morte acidental.,"acidental, causa, cobertura, cobre, morte, natural, qualquer, seguro, seguro prestamista",,,"acidental, cobertura, natural, seguro prestamista",,,
Como posso tirar dúvidas sobre o seguro?,Dúvidas: * Indique ao cliente que ele pode contatar a Velotax (telefone ou chat) para dúvidas gerais. * Ou a Caburé para questões de sinistro.,"Caburé, Velotax, dúvidas, posso, seguro, seguro prestamista, sobre, tirar",,,"Caburé, Velotax, caburé, seguro prestamista, velotax",,,
Posso contratar o Crédito Trabalhador pela Velotax diretamente pelo CTPS?,"Contratação CTPS: * Informe ao cliente que sim, é possível contratar o Crédito Trabalhador pela Velotax caso ele faça a solicitação diretamente pelo CTPS. * Explique que a Velotax pode aparecer como opção para prestar esse crédito, desde que haja uma oferta disponível. * Recomende ao cliente que, de preferência, realize a contratação diretamente pelo nosso app para uma experiência mais prática e segura.","app, contratar, contratação, crédito, ctps, diretamente, oferta, pela, pelo, posso, trabalhador, velotax",Empréstimos > Crédito Trabalhador > Contratação,,"adesão, app, contratação, contratação de crédito, empréstimo sem garantia, empréstimo trabalhador, mobile, oferta, pedido de crédito, registro, solicitação, subscrição",,,
O que é declaração de imposto de renda?,"Definição: * É o documento oficial enviado à Receita Federal. * Contém informações sobre rendimentos, despesas dedutíveis e bens do contribuinte no ano-calendário. * Seu objetivo é apurar se há imposto a pagar ou a restituir, sendo obrigatória para quem se enquadra nas regras da Receita Federal.","IRPF, Receita Federal, declaração, deduções, imposto, renda, rendimentos",,,"deduções, irpf, receita federal, rendimentos",,,
Crédito do Trabalhador - Nova Contratação,Nova Contratação: * O cliente pode realizar uma nova contratação do Crédito do Trabalhador. * Isso é possível caso esteja elegível. * A nova contratação pode ser feita 7 dias úteis após a quitação.,"contratação, crédito, elegibilidade, nova, prazo, quitação, trabalhador",Empréstimos > Crédito do Trabalhador > Contratação,,"benefício trabalhista, contratar, elegibilidade, empréstimo pessoal, prazo, quitação",,,
,,,,,,,,
Crédito Pessoal - Nova Contratação,"Nova Contratação: * O cliente pode realizar uma nova contratação do Crédito Pessoal. * A solicitação é permitida 20 dias após a quitação. * A contratação está sujeita a uma nova análise de crédito, o que significa que não é garantido que o cliente poderá contratar novamente.","análise de crédito, contratar novamente, elegibilidade, nova simulação, novo credito, quitação",Empréstimos > Crédito Pessoal > Contratação,,"análise de crédito, contratar novamente, crédito rápido, elegibilidade, nova simulação, novo credito, quitação, simulação",,,
Transferência de chamadas - Veloprime,"Procedimento: * A transferência interna para a equipe do Veloprime deve ser feita pelo ramal de transferência. * Utilize o ramal 9999, configurado para ir direto para a fila, sem a necessidade do cliente teclar a opção 3. * A partir de agora, transfira o cliente usando esse ramal para garantir o direcionamento correto ao time.","atendimento, chamadas, fila, ramal, transferência, veloprime",,,"atendimento, encaminhamento, fila, passagem de chamada, ramal, redirecionamento, transferência de ligação",,,
Crédito do Trabalhador em aberto,"Verificação: * Para consultar os consignados ativos, o cliente pode acessar o app Carteira de Trabalho, disponibilizado pelo governo. * Este aplicativo oferece uma visão clara e atualizada de todos os empréstimos consignados ainda em andamento, vinculados à sua carteira profissional. * Recomenda-se que o cliente verifique regularmente essa seção para acompanhar o status dos contratos e garantir que todas as informações estejam corretas. ","Carteira de Trabalho, aberto, app, consignados, crédito, trabalhador, verificação",,,"app, carteira de trabalho, consignados, crédito para clt, débitos consignados, financiamento pessoal, financiamentos ativos, mpréstimos descontados, plataforma digital, verificação",,,
,,,,,,,,
O que é o Score Velotax?,"Definição: * O Score Velotax é uma métrica interna que avalia o perfil de crédito na plataforma. * Funciona como um termômetro, indicando chances de aprovação e condições de crédito. * É dinâmico, baseado em histórico e comportamento financeiro.","avaliação, métrica crédito, perfil crédito, score, velotax",,,"análise de risco, avaliação, avaliação de solvência, métrica crédito, perfil crédito, perfil financeiro, pontuação personalizada, termômetro de crédito, índice de confiança",,,
Como o Score Velotax é calculado?,"Cálculo: * Baseia-se em histórico fiscal, comportamento financeiro e relacionamento com a plataforma. * Oferece uma análise clara e objetiva para cliente e Velotax.","análise, calculado, comportamento financeiro, cálculo, histórico fiscal, score, velotax",,,"análise, avaliação precisa, comportamento financeiro, cálculo, determinação de nota, exame detalhado, histórico fiscal, hábitos econômicos, pontuação de crédito, registros tributários",,,
Quais são os critérios avaliados no Score Velotax?,Critérios: * Histórico de Declarações: Verifica entrega no prazo. * Comportamento de Pagamento: Avalia pontualidade em DARFs. * Volume Financeiro: Considera estabilidade dos rendimentos. * Regularidade com Receita Federal: Checa pendências. * Comportamento de Antecipações: Analisa quitação no prazo. * Verificação de Identidade: Confirma validação gov.br e CAF. * Blacklist: Verifica restrições internas. * Tempo de Relacionamento: Premia histórico longo.,"antecipações, blacklist, histórico, identidade, pagamento, regularidade, relacionamento, renda",,,"adiantamentos, antecipações, autenticação pessoal, blacklist, conformidade tributária, estabilidade econômica, fatores de pontuação, histórico, identidade, pagamento, passado fiscal, quitação de débitos, regularidade, relacionamento, renda, restrições de crédito, vínculo com serviço",,,
Por que o Score Velotax é importante?,"Importância: * Torna transparente os fatores que afetam o acesso a crédito. * Facilita decisões sobre aprovações, valores e prazos. * Melhora a segurança e eficiência do ecossistema.","decisão, importante, importância, score, segurança, transparência, velotax",,,"abertura de informações, decisão, escolha financeira, importância, otimização de processos, proteção do sistema, relevância da pontuação, segurança, transparência",,,
Como funciona a atualização do Score Velotax?,Atualização: * A pontuação é recalculada periodicamente com base no comportamento. * Score baixo pode melhorar corrigindo pendências. * Boa pontuação exige manutenção com boas práticas.,"atualização, comportamento, funciona, manutenção, melhoria, score, velotax",,,"ajuste dinâmico, comportamento, conservação de status, manutenção, melhoria, padrões de uso, progresso na pontuação, revisão de nota",,,
Quem tem acesso ao Score Velotax?,Público-Alvo: * Todos os clientes elegíveis para crédito e antecipação na Velotax têm o score gerado e atualizado automaticamente.,"acesso, antecipação, crédito, elegibilidade, público-alvo, score, tem, velotax",,,"admissão a financiamentos, antecipação, beneficiários da pontuação, crédito, crédito antecipado, crédito consignado, elegibilidade, empréstimo sem garantia, pré-pagamentos, público-alvo, usuários qualificados",,,
Qual o papel do atendimento no Score Velotax?,Atendimento: * Explicar o que é o Score Velotax e quais critérios afetam a nota. * Orientar o cliente sobre como melhorar a pontuação. * Encaminhar casos específicos para os canais adequados.,"atendimento, melhoria, orientação, papel, score, suporte, velotax",,,"aconselhamento, assistência ao cliente, elevação de nota, encaminhamento especializado, esclarecimento de critérios, melhoria, orientação, suporte",,,
Qual a conclusão sobre o Score Velotax?,Conclusão: * É uma ferramenta estratégica que promove transparência e boas práticas fiscais. * Melhora a experiência de crédito na plataforma. * Ajuda o atendimento a oferecer suporte eficaz.,"conclusão, experiência, score, sobre, suporte, transparência, velotax",,,"auxílio ao usuário, clareza fiscal, experiência, jornada do cliente, resultado final, suporte, síntese da pontuação, transparência",,,
,,,,,,,,
Quando posso solicitar um novo Crédito Pessoal após quitar o anterior?,"Nova Solicitação: * Após a quitação do Crédito Pessoal, o cliente pode solicitar uma nova contratação. * Uma nova análise de crédito será realizada após 30 dias da quitação. * A aprovação depende dos resultados dessa análise.","crédito pessoal, quitação, nova análise, solicitação , prazo , quando ","empréstimo pessoal, pagamento final, reavaliação de crédito, pedido, requerimento",Empréstimos > Crédito Pessoal > Nova Contratação,,,,
Quando posso solicitar um novo Crédito do Trabalhador após quitar o anterior?,"Nova Solicitação: * Após a quitação do Crédito do Trabalhador, o cliente pode solicitar uma nova contratação. * Uma nova análise de crédito será realizada após 7 dias úteis da quitação. * A aprovação depende dos resultados dessa análise.","crédito do trabalhador, quitação, nova análise, solicitação, dias úteis","empréstimo do trabalhador, pagamento final, reavaliação de crédito, pedido, dias trabalháveis",Empréstimos > Crédito do Trabalhador > Nova Contratação,,,,
,,,,,,,,
Crédito do Trabalhador - Cancelamento,"Cancelamento: * O cancelamento deve ser solicitado dentro do prazo de 7 dias, conforme o Código de Defesa do Consumidor. * Para cancelar, o cliente deve acessar a conta onde o crédito foi recebido, selecionar a transação e realizar o estorno. * O processo será concluído em até 2 dias úteis após a solicitação.","crédito do trabalhador, cancelamento, prazo, estorno, dias úteis","empréstimo do trabalhador, desistência, período de 7 dias, devolução, dias trabalháveis",Empréstimos | Crédito do Trabalhador > Produtos de Crédito > Cancelamento,,Amarelo claro > Rosa > Branco,,
Crédito Pessoal - Cancelamento,"Cancelamento: * O cancelamento pode ser solicitado dentro do prazo de 7 dias, conforme estipulado pelo Código de Defesa do Consumidor. * O cliente deve acessar a conta onde o crédito foi depositado, selecionar a transação e realizar o estorno. * O processamento do cancelamento será finalizado em até 2 dias úteis.","crédito pessoal, cancelamento, prazo, estorno, dias úteis","empréstimo pessoal, desistência, período de 7 dias, devolução, dias trabalháveis,",Empréstimos > Crédito Pessoal > Cancelamento,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
Consulta Mais - O que é e como funciona o suporte?,"Definição: * Consulta Mais é uma funcionalidade no aplicativo Velotax que redireciona clientes para uma plataforma de consultas virtuais. * Não oferecemos suporte direto para essa funcionalidade. * Caso o cliente precise de assistência, informe que todo suporte é fornecido diretamente pela plataforma Consulta Mais. * O número de contato para suporte é: (41) 8843-0762.","Consulta Mais, aplicativo, consultas virtuais, suporte, redirecionamento","plataforma de consultas, app Velotax, teleconsultas, assistência, encaminhamento",Outros Serviços > Consulta Mais > Definição,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
,,,,,,,,
Quais bancos estão disponíveis para o Open Finance no Crédito Pessoal?,"Bancos Disponíveis: * A análise de crédito para o Crédito Pessoal aceita contas dos seguintes bancos: Itaú, Bradesco, Santander, Banco do Brasil, Nubank, Caixa e Inter. * Contas de outros bancos não são aceitas para esta modalidade de empréstimo no momento.","Open Finance, Crédito Pessoal, bancos, análise de crédito","sistema financeiro aberto, empréstimo pessoal, instituições financeiras, avaliação de crédito",Empréstimos > Crédito Pessoal > Open Finance,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
,,,,,,,,
O que é o Open Finance?,"Definição: * Open Finance é um sistema financeiro aberto que permite o compartilhamento seguro de dados financeiros do cliente entre instituições autorizadas, com seu consentimento. * Na Velotax, é uma parte crucial da contratação do Crédito Pessoal, pois permite a análise de crédito com base nas informações compartilhadas de bancos como Itaú, Bradesco, Santander, Banco do Brasil, Nubank, Caixa e Inter. * Esse processo agiliza a avaliação, melhora a precisão das condições oferecidas e garante maior transparência e segurança.","Open Finance, sistema financeiro, compartilhamento de dados, Crédito Pessoal, análise de crédito","finanças abertas, integração de dados, empréstimo pessoal, avaliação de crédito, transparência financeira",Empréstimos > Crédito Pessoal > Open Finance,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
Como realizar a alteração de senha no app Velotax?,"Procedimento: * Acesse o aplicativo Velotax e, na página inicial, clique em ""Começar"". * Insira seu CPF no campo indicado e clique em ""Continuar"". * Na tela de login, selecione a opção ""Esqueci minha senha"". * Escolha receber um código de verificação de 4 dígitos por e-mail ou SMS. * Copie o código recebido e insira-o no campo indicado no aplicativo. * Digite a nova senha e confirme. * Realize o login novamente com a nova senha.","alteração de senha, app Velotax, CPF, código de verificação, login","troca de senha, aplicativo Velotax, identificação, código de validação, acesso",Aplicativo > Velotax > Alteração de Senha,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
,,,,,,,,
Crédito Pessoal - Posso alterar a data de vencimento da parcela?,"Data de Vencimento: * As datas de vencimento são exibidas durante o processo de contratação. * O cliente pode escolher a data preferida antes de finalizar a contratação. * Após a contratação, a data escolhida é fixa e não pode ser alterada.","crédito pessoal, data de vencimento, contratação, escolha","empréstimo pessoal, vencimento da parcela, adesão, seleção",Empréstimos > Crédito Pessoal > Vencimento,,Amarelo claro > Rosa > Branco,,
,,,,,,,,
,,,,,,,,
Crédito Pessoal - Como é feito o pagamento das parcelas?,"Pagamento: * As parcelas são pagas selecionando ""Próximos Pagamentos"" na página inicial do app e escolhendo o Crédito. * As opções disponíveis são PIX ou boleto. * Para parcelar o boleto com cartão de crédito, o cliente deve acessar o aplicativo do seu banco e verificar a possibilidade diretamente com a administradora. * Após a quitação completa, uma nova análise de crédito pode ser realizada em 30 dias.","crédito pessoal, pagamento, parcelas, PIX, boleto, quitação, análise","empréstimo pessoal, quitação, vencimentos, transferência instantânea, título de pagamento, pagamento final, reavaliação",Empréstimos > Crédito Pessoal > Pagamento,,Amarelo claro > Rosa > Branco,,
,,,,,,oi,Olá! Como posso ajudar você hoje?,"oi, Olá, ajudar, você, hoje"
Opções de Quitação (Dívidas em Aberto),"Opções de Pagamento: * PIX: Pagamento imediato, com liberação da chave no mesmo dia. * Boleto: Emitido pela Stone, com beneficiário Pagar.me e sacador FAIRFIELD CAPITAL. Onde Pagar: * Acesse a área ""Impostos"" ou ""Próximos Pagamentos"" no aplicativo.","quitação, dívidas em aberto, PIX, boleto, Stone, Pagar.me, FAIRFIELD CAPITAL","pagamento, débitos pendentes, transferência instantânea, título bancário, emissor Stone, recebedor Pagar.me, responsável FAIRFIELD",Pagamentos > Dívidas em Aberto > Quitação,,Amarelo claro > Rosa > Branco,"Para contratar o Crédito do Trabalhador, abra o app, acesse o card ""Crédito do Trabalhador"", siga os passos de autorização, escolha o valor, simule o empréstimo, processe os dados, tire uma selfie para validação e confirme os dados finais.","contratar, crédito do trabalhador, app, card, autorização, valor, simulação, empréstimo, processamento, dados, selfie, validação, confirmação."
,,,,,,como fritar batata,"Para fritar batata, corte-as em palitos, aqueça óleo em uma frigideira, adicione as batatas e frite até ficarem douradas e crocantes. Depois, retire e coloque em papel toalha para absorver o excesso de óleo. Tempere a gosto.","fritar batata, cortar em palitos, aquecer óleo, frigideira, fritar, douradas, crocantes, papel toalha, absorver excesso, temperar a gosto"
Passo a Passo – Exclusão de Conta no Painel de Pedidos Internos,"Acesso ao Painel: * Acesse o painel interno e insira os dados do cliente. * No campo de atendente, informe seu nome. * Ao lado, digite o CPF do cliente. Seleção da Ação: * Marque a opção “Exclusão de Conta”. Opções Específicas: * Selecione apenas as aplicáveis ao pedido do cliente: * Excluir conta Velotax * Excluir conta Celcoin * Conta zerada * Portabilidade pendente * Dívida IRPF quitada Informações Adicionais: * Adicione detalhes relevantes informados pelo cliente. Envio: * Clique em “Enviar”. * Informe ao cliente: “O prazo para conclusão da exclusão é de 24 horas após o envio da solicitação.” Acompanhamento: * Monitore o status no painel para garantir o andamento correto. Conclusão: * Após finalizado, comunique ao cliente: “Sua exclusão foi realizada com sucesso.”","exclusão de conta, painel interno, CPF, atendente, prazo 24 horas, acompanhamento","remoção de perfil, sistema de pedidos, identificação fiscal, responsável pelo atendimento, período de 24h, monitoramento",Suporte Interno > Exclusão de Conta > Procedimento,,Amarelo claro > Rosa > Branco,Olá! Como posso ajudar você hoje?,"oi, Olá, ajudar, você, hoje"
,,,,,,como antecipa,"Para antecipar, acesse o aplicativo, verifique os valores da proposta, e siga as instruções para confirmar a solicitação.","antecipar, aplicativo, verificar, valores, proposta, instruções, confirmar, solicitação"
Crédito do Trabalhador - Quitação antecipada e desconto em folha,"Orientações: * Quando o cliente quita a parcela antecipadamente e, no mesmo mês, ocorre o desconto em folha, isso não é pagamento duplicado. * O desconto é repasse automático da empresa e será aplicado na próxima parcela, conforme convênio com a Caixa Econômica Federal. Reembolso: * Não há reembolso nesses casos, pois o valor é reaproveitado na cobrança seguinte. * Reembolso só ocorre se todas as parcelas estiverem quitadas e ainda houver desconto em folha. * Nesse caso, o reembolso é processado após repasse da Caixa, com prazo médio de até 40 dias.","crédito do trabalhador, quitação antecipada, desconto em folha, repasse, reembolso, Caixa","empréstimo do trabalhador, pagamento adiantado, consignação, transferência automática, devolução, Caixa Econômica",Empréstimos > Crédito do Trabalhador > Quitação Antecipada,,Amarelo claro > Rosa > Branco,"MDMA é uma substância psicoativa conhecida como ecstasy, enquanto MDA é uma substância semelhante, mas com efeitos e propriedades diferentes. Ambos são utilizados em contextos recreativos, mas a experiência e os efeitos podem variar.","MDMA, MDA, substância psicoativa, ecstasy, efeitos, propriedades, contextos recreativos, experiência, variação."
,,,,,,como fazer bolo?,"Desculpe, mas não posso ajudar com receitas de bolo. Posso ajudar com algo relacionado ao aplicativo Velotax?","bolo, receita, Velotax, aplicativo, culinária, ajuda, perguntas"
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,A capital do Brasil é Brasília.,"capital, Brasil, Brasília"
O que é o Seguro Celular Velotax?,"Definição: * Proteção completa contra roubo, furto, perda, danos acidentais e problemas técnicos. * Produto opcional contratado 100% online no app Velotax. * Garante reposição por aparelho novo ou usado (igual ou superior) em até 5 dias úteis. * Inclui sorteio mensal de R$10 mil.","seguro celular, Velotax, proteção, reposição, sorteio","proteção móvel, app Velotax, cobertura, substituição, prêmio mensal",Seguros > Seguro Celular > Definição,,Amarelo claro > Rosa > Branco,A capital do Brasil é Brasília.,"capital, Brasil, Brasília"
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,"IRPF é a sigla para Imposto de Renda da Pessoa Física. É um tributo federal brasileiro que incide sobre a renda e os proventos de qualquer natureza recebidos por pessoas físicas. A declaração do IRPF deve ser feita anualmente, onde o contribuinte informa seus rendimentos, despesas e outras informações financeiras. O imposto pode resultar em pagamento, restituição ou compensação, dependendo da situação fiscal do contribuinte.","IRPF, Imposto de Renda, Pessoa Física, tributo federal, Brasil, renda, proventos, declaração, contribuinte, rendimentos, despesas, informações financeiras, pagamento, restituição, compensação, situação fiscal."
Como contratar o Seguro Celular Velotax?,Contratação: * Acesse a aba “Seguros” no app Velotax. * Visualize opções de cobertura para seu aparelho. * Escolha a proteção desejada e informe o IMEI. * Selecione pagamento via Pix ou cartão de crédito. * Confirmação imediata; cobertura inicia após 30 dias (carência).,"contratação, app Velotax, IMEI, pagamento, carência","adesão, aplicativo, identificação do aparelho, forma de pagamento, período de carência",Seguros > Seguro Celular > Contratação,,Amarelo claro > Rosa > Branco,"Para declarar o imposto de renda, siga estas etapas:

1. **Reúna Documentos**: Junte todos os comprovantes de rendimentos, despesas e informações financeiras, como informes de rendimentos de empregadores, extratos bancários e recibos de despesas dedutíveis.

2. **Acesse o Programa da Receita Federal**: Baixe o programa da Receita Federal referente ao ano fiscal que deseja declarar. Ele está disponível no site da Receita.

3. **Preencha a Declaração**: Abra o programa e siga as instruções para preencher os dados pessoais, rendimentos, bens, dívidas e despesas. Escolha entre as opções de declaração simplificada ou completa.

4. **Verifique a Declaração**: Use a opção de verificação do programa para checar se há erros ou inconsistências.

5. **Envie a Declaração**: Após finalizar, envie a declaração pelo próprio programa. Você receberá um recibo de entrega.

6. **Acompanhe o Processo**: Utilize o site da Receita para acompanhar a situação da sua declaração e verificar se há imposto a pagar ou a restituir.

Lembre-se de respeitar os prazos estabelecidos pela Receita Federal para evitar multas.","imposto de renda, declarar, etapas, documentos, comprovantes, rendimentos, despesas, informações financeiras, Receita Federal, programa, ano fiscal, dados pessoais, bens, dívidas, declaração simplificada, declaração completa, verificação, erros,"
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,"Desculpe, não encontrei informações sobre isso na minha base de dados.","antecipação, como fazer, informações, base de dados, processo, dicas, guia"
Quais são as opções de cobertura do Seguro Celular Velotax?,"Coberturas: * 4 níveis de proteção com riscos e valores anuais diferentes. * Franquia: valor pago pelo cliente ao acionar o seguro (ex.: 20% do valor do aparelho). * Parcelamento da franquia em até 6x, se necessário.","cobertura, franquia, níveis, parcelamento","planos de proteção, coparticipação, opções, pagamento fracionado",Seguros > Seguro Celular > Coberturas,,Amarelo claro > Rosa > Branco,"Os tickets podem se referir a diferentes contextos, mas geralmente estão associados a ingressos ou comprovantes de pagamento para eventos, transporte ou serviços. Aqui estão algumas categorias comuns:

1. **Ingressos para Eventos**: Tickets para shows, cinemas, teatros, festivais e outros eventos ao vivo.

2. **Transporte**: Tickets para viagens de avião, trem, ônibus e transporte público.

3. **Serviços**: Tickets de suporte técnico ou atendimento ao cliente, onde os usuários podem abrir um chamado para resolver problemas.

4. **Raspadinhas ou Sorteios**: Tickets que oferecem a chance de ganhar prêmios, como em loterias.

Os tickets geralmente contêm informações como data, hora, local, preço e, em muitos casos, um código de barras ou QR code para verificação.","tickets, ingressos, eventos, transporte, serviços, suporte técnico, atendimento ao cliente, raspadinhas, sorteios, prêmios, loterias, informações, data, hora, local, preço, código de barras, QR code, viagens"
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,"Desculpe, mas não tenho acesso a APIs internas ou dados em tempo real. Para obter a quantidade de ligações, você deve consultar diretamente a sua API interna ou o sistema responsável por essas informações.","API interna, quantidade, ligações, acesso, dados, consultar, sistema, informações."
Erro no Gov - Crédito Pessoal,"Lamento que sua experiência ao tentar contratar o crédito pessoal não tenha sido positiva. Gostaria de reforçar que o erro relacionado à vinculação dos dados em nossa plataforma já está sendo mapeado pelo nosso time de tecnologia, e estamos trabalhando para solucioná-lo o mais rápido possível. Alguns clientes que enfrentaram o mesmo problema já estão conseguindo realizar a simulação do crédito aos poucos. Por isso, pedimos que, por gentileza, aguarde as próximas atualizações do aplicativo, pois elas devem permitir que você conclua sua simulação com sucesso. Combinado? Permaneço à disposição para qualquer dúvida ou necessidade de apoio.","erro gov, crédito pessoal, vinculação, atualização app","falha gov.br, empréstimo pessoal, conexão dados, nova versão app",Empréstimos > Crédito Pessoal > Erro Gov,,Amarelo claro > Rosa > Branco,"As chamadas de janeiro de 2025 referem-se ao período em que instituições de ensino, como universidades e faculdades, costumam realizar processos seletivos ou vestibulares para ingresso no primeiro semestre do ano. Durante esse período, os candidatos podem se inscrever, realizar provas e, posteriormente, aguardar resultados e matrículas. É importante verificar os editais específicos de cada instituição para detalhes sobre datas, requisitos e processos.","chamadas, janeiro de 2025, instituições de ensino, universidades, faculdades, processos seletivos, vestibulares, ingresso, primeiro semestre, inscrições, provas, resultados, matrículas, editais, datas, requisitos, processos"
Pergunta,Resposta,Palavras-chave,Sinônimos,Tabulação,Formatação Desejada Como Escrever na Planilha Negrito Texto em negrito Itálico Texto em itálico Link Texto do Link Lista de Itens * Primeiro item\n* Segundo item Lista Numerada 1. Primeiro passo\n2. Segundo passo,Classificação,,
